2019-08-24 00:01:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 29232 flow
2019-08-24 00:05:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 29277 flow
2019-08-24 00:05:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 29277 flow
2019-08-24 00:05:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 29277 flow
2019-08-24 00:05:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 29277 flow
2019-08-24 00:08:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 29290 flow
2019-08-24 00:08:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 29289 flow
2019-08-24 00:08:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 29290 flow
2019-08-24 00:08:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 29289 flow
2019-08-24 00:08:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 29291 flow
2019-08-24 00:08:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 29292 flow
